姓名,桌號
王小明,1
李小華,1
陳大文,1
林美麗,1
張志強,1
黃莉方,1
吳宗憲,1
周杰倫,1
鄭伊健,1
劉德華,1
王曉華,2
李美美,2
陳志明,2
林小芳,2
張偉,2
黃小強,2
吳小美,2
周小明,2
鄭小華,2
劉小芳,2
王大明,3
李大華,3
陳美麗,3
林志強,3
張莉方,3
黃宗憲,3
吳杰倫,3
周伊健,3
鄭德華,3
劉曉華,3
王美美,4
李志明,4
陳小芳,4
林偉,4
張小強,4
黃小美,4
吳小明,4
周小華,4
鄭小芳,4
劉大明,4
王大華,5
李美麗,5
陳志強,5
林莉方,5
張宗憲,5
黃杰倫,5
吳伊健,5
周德華,5
鄭曉華,5
劉美美,5
王志明,6
李小芳,6
陳偉,6
林小強,6
張小美,6
黃小明,6
吳小華,6
周小芳,6
鄭大明,6
劉大華,6
王美麗,7
李志強,7
陳莉方,7
林宗憲,7
張杰倫,7
黃伊健,7
吳德華,7
周曉華,7
鄭美美,7
劉志明,7
王小芳,8
李偉,8
陳小強,8
林小美,8
張小明,8
黃小華,8
吳小芳,8
周大明,8
鄭大華,8
劉美麗,8
王志強,9
李莉方,9
陳宗憲,9
林杰倫,9
張伊健,9
黃德華,9
吳曉華,9
周美美,9
鄭志明,9
劉小芳,9
王偉,10
李小強,10
陳小美,10
林小明,10
張小華,10
黃小芳,10
吳大明,10
周大華,10
鄭美麗,10
劉志強,10
王莉方,11
李宗憲,11
陳杰倫,11
林伊健,11
張德華,11
黃曉華,11
吳美美,11
周志明,11
鄭小芳,11
劉偉,11
王小強,12
李小美,12
陳小明,12
林小華,12
張小芳,12
黃大明,12
吳大華,12
周美麗,12
鄭志強,12
劉莉方,12
王宗憲,13
李杰倫,13
陳伊健,13
林德華,13
張曉華,13
黃美美,13
吳志明,13
周小芳,13
鄭偉,13
劉小強,13
王小美,14
李小明,14
陳小華,14
林小芳,14
張大明,14
黃大華,14
吳美麗,14
周志強,14
鄭莉方,14
劉宗憲,14
王杰倫,15
李伊健,15
陳德華,15
林曉華,15
張美美,15
黃志明,15
吳小芳,15
周偉,15
鄭小強,15
劉小美,15 
